latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.940243,-66.60855,54,-14400,America/Moncton,AST
,,,,,
time,temperature_2m (°C),direct_normal_irradiance (W/m²),,,
2021-01-01T00:00,-4.2,0,,,
2021-01-01T01:00,-4.8,0,,,
2021-01-01T02:00,-5.4,0,,,
2021-01-01T03:00,-5.9,0,,,
2021-01-01T04:00,-6.5,0,,,
2021-01-01T05:00,-7.1,0,,,
2021-01-01T06:00,-7.7,0,,,
2021-01-01T07:00,-8.2,0,,,
2021-01-01T08:00,-7.9,0,,,
2021-01-01T09:00,-7.7,186.4,,,
2021-01-01T10:00,-6.4,625,,,
2021-01-01T11:00,-5.2,762.4,,,
2021-01-01T12:00,-4.2,822.5,,,
2021-01-01T13:00,-3.4,841.8,,,
2021-01-01T14:00,-2.9,818.5,,,
2021-01-01T15:00,-2.8,756.4,,,
2021-01-01T16:00,-3.4,614.8,,,
2021-01-01T17:00,-6,184.9,,,
2021-01-01T18:00,-6,0,,,
2021-01-01T19:00,-6.6,0,,,
2021-01-01T20:00,-8.3,0,,,
2021-01-01T21:00,-6.2,0,,,
2021-01-01T22:00,-6.4,0,,,
2021-01-01T23:00,-6.3,0,,,
2021-01-02T00:00,-6.1,0,,,
2021-01-02T01:00,-5.8,0,,,
2021-01-02T02:00,-5.7,0,,,
2021-01-02T03:00,-5.4,0,,,
2021-01-02T04:00,-5.3,0,,,
2021-01-02T05:00,-4.9,0,,,
2021-01-02T06:00,-4.9,0,,,
2021-01-02T07:00,-4.8,0,,,
2021-01-02T08:00,-5.9,0,,,
2021-01-02T09:00,-5.6,0,,,
2021-01-02T10:00,-4.9,0,,,
2021-01-02T11:00,-4.3,0,,,
2021-01-02T12:00,-4.1,0,,,
2021-01-02T13:00,-4.5,0,,,
2021-01-02T14:00,-4.6,0,,,
2021-01-02T15:00,-4.9,0,,,
2021-01-02T16:00,-5,0,,,
2021-01-02T17:00,-4.7,0,,,
2021-01-02T18:00,-4.6,0,,,
2021-01-02T19:00,-4.4,0,,,
2021-01-02T20:00,-4.5,0,,,
2021-01-02T21:00,-4.5,0,,,
2021-01-02T22:00,-5.5,0,,,
2021-01-02T23:00,-6.2,0,,,
2021-01-03T00:00,-6,0,,,
2021-01-03T01:00,-5.9,0,,,
2021-01-03T02:00,-6,0,,,
2021-01-03T03:00,-6,0,,,
2021-01-03T04:00,-6.9,0,,,
2021-01-03T05:00,-7.5,0,,,
2021-01-03T06:00,-8.5,0,,,
2021-01-03T07:00,-9.5,0,,,
2021-01-03T08:00,-9.6,0,,,
2021-01-03T09:00,-9.5,142.1,,,
2021-01-03T10:00,-7.9,360.2,,,
2021-01-03T11:00,-5.9,648.7,,,
2021-01-03T12:00,-4.8,766.7,,,
2021-01-03T13:00,-3.4,541.7,,,
2021-01-03T14:00,-2.8,228.8,,,
2021-01-03T15:00,-3.4,410.2,,,
