latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.938705,-66.628815,54,-14400,America/Moncton,AST
,,,,,
time,temperature_2m (°C),direct_normal_irradiance (W/m²),,,
2023-10-01T00:00,8.3,0,,,
2023-10-01T00:15,8.8,0,,,
2023-10-01T00:30,8.8,0,,,
2023-10-01T00:45,9,0,,,
2023-10-01T01:00,8.9,0,,,
2023-10-01T01:15,9.1,0,,,
2023-10-01T01:30,9.3,0,,,
2023-10-01T01:45,9.3,0,,,
2023-10-01T02:00,9,0,,,
2023-10-01T02:15,9.1,0,,,
2023-10-01T02:30,8.9,0,,,
2023-10-01T02:45,9,0,,,
2023-10-01T03:00,9,0,,,
2023-10-01T03:15,8.7,0,,,
2023-10-01T03:30,9,0,,,
2023-10-01T03:45,9.2,0,,,
2023-10-01T04:00,8.5,0,,,
2023-10-01T04:15,8.3,0,,,
2023-10-01T04:30,8.5,0,,,
2023-10-01T04:45,8.8,0,,,
2023-10-01T05:00,8.8,0,,,
2023-10-01T05:15,8.8,0,,,
2023-10-01T05:30,9,0,,,
2023-10-01T05:45,9.2,0,,,
2023-10-01T06:00,8.7,0,,,
2023-10-01T06:15,8.6,0,,,
2023-10-01T06:30,8.8,0,,,
2023-10-01T06:45,8.7,0,,,
2023-10-01T07:00,7.8,0,,,
2023-10-01T07:15,7.9,35.1,,,
2023-10-01T07:30,8.2,114,,,
2023-10-01T07:45,8.6,179.1,,,
2023-10-01T08:00,8.8,172.8,,,
2023-10-01T08:15,8.8,0,,,
2023-10-01T08:30,9.2,0,,,
2023-10-01T08:45,9.6,8.3,,,
2023-10-01T09:00,10.6,110.8,,,
2023-10-01T09:15,11.1,296.7,,,
2023-10-01T09:30,11.8,84.1,,,
2023-10-01T09:45,12.6,299.7,,,
2023-10-01T10:00,13.4,339.3,,,
2023-10-01T10:15,14,636.2,,,
2023-10-01T10:30,14.6,408.9,,,
2023-10-01T10:45,15.2,459.3,,,
2023-10-01T11:00,17,556.3,,,
2023-10-01T11:15,17.1,679.6,,,
2023-10-01T11:30,17.5,493.4,,,
2023-10-01T11:45,18.1,760.1,,,
2023-10-01T12:00,20.1,642.1,,,
2023-10-01T12:15,19.8,734,,,
2023-10-01T12:30,20.2,781.3,,,
2023-10-01T12:45,20.5,786.2,,,
2023-10-01T13:00,22.4,797.9,,,
2023-10-01T13:15,22.1,793,,,
2023-10-01T13:30,22.2,795,,,
2023-10-01T13:45,22.4,784.3,,,
2023-10-01T14:00,23.7,766.6,,,
2023-10-01T14:15,23.4,814.2,,,
2023-10-01T14:30,23.4,773.1,,,
2023-10-01T14:45,23.3,747.2,,,
2023-10-01T15:00,23.7,734.3,,,
2023-10-01T15:15,23.4,746.9,,,
2023-10-01T15:30,23,675.5,,,
2023-10-01T15:45,22.7,665.6,,,
2023-10-01T16:00,23.2,635.3,,,
2023-10-01T16:15,22.7,626,,,
2023-10-01T16:30,22.3,534.4,,,
2023-10-01T16:45,21.9,488.9,,,
2023-10-01T17:00,22.3,418.4,,,
2023-10-01T17:15,21.7,363,,,
2023-10-01T17:30,20.9,244.4,,,
2023-10-01T17:45,20.1,130.1,,,
2023-10-01T18:00,20.2,96.6,,,
2023-10-01T18:15,19.5,0,,,
2023-10-01T18:30,19,0,,,
2023-10-01T18:45,18.5,0,,,
2023-10-01T19:00,18.5,0,,,
2023-10-01T19:15,18,0,,,
2023-10-01T19:30,17.8,0,,,
2023-10-01T19:45,17.5,0,,,
2023-10-01T20:00,17.5,0,,,
2023-10-01T20:15,17,0,,,
2023-10-01T20:30,16.6,0,,,
2023-10-01T20:45,16.3,0,,,
2023-10-01T21:00,16.4,0,,,
2023-10-01T21:15,16,0,,,
2023-10-01T21:30,15.7,0,,,
2023-10-01T21:45,15.3,0,,,
2023-10-01T22:00,15.1,0,,,
2023-10-01T22:15,14.9,0,,,
2023-10-01T22:30,14.5,0,,,
2023-10-01T22:45,14.3,0,,,
2023-10-01T23:00,14.4,0,,,
2023-10-01T23:15,14,0,,,
2023-10-01T23:30,13.6,0,,,
2023-10-01T23:45,13.3,0,,,
2023-10-02T00:00,13,0,,,
2023-10-02T00:15,12.6,0,,,
2023-10-02T00:30,12.3,0,,,
2023-10-02T00:45,12,0,,,
2023-10-02T01:00,11.6,0,,,
2023-10-02T01:15,11.5,0,,,
2023-10-02T01:30,11.2,0,,,
2023-10-02T01:45,10.9,0,,,
2023-10-02T02:00,10.7,0,,,
2023-10-02T02:15,10.5,0,,,
2023-10-02T02:30,10.4,0,,,
2023-10-02T02:45,10.2,0,,,
2023-10-02T03:00,9.8,0,,,
2023-10-02T03:15,9.8,0,,,
2023-10-02T03:30,9.7,0,,,
2023-10-02T03:45,9.6,0,,,
2023-10-02T04:00,9.1,0,,,
2023-10-02T04:15,9,0,,,
2023-10-02T04:30,8.8,0,,,
2023-10-02T04:45,8.6,0,,,
2023-10-02T05:00,8.3,0,,,
2023-10-02T05:15,8.2,0,,,
2023-10-02T05:30,8.1,0,,,
2023-10-02T05:45,8,0,,,
2023-10-02T06:00,7.8,0,,,
2023-10-02T06:15,7.8,0,,,
2023-10-02T06:30,7.7,0,,,
2023-10-02T06:45,7.5,0,,,
2023-10-02T07:00,7.6,99.6,,,
2023-10-02T07:15,8,263.5,,,
2023-10-02T07:30,8.5,383.3,,,
2023-10-02T07:45,8.9,472.2,,,
2023-10-02T08:00,9.5,539.9,,,
2023-10-02T08:15,10,600.7,,,
2023-10-02T08:30,10.5,639.4,,,
2023-10-02T08:45,11,683.7,,,
2023-10-02T09:00,12.5,715.1,,,
2023-10-02T09:15,12.7,749.1,,,
2023-10-02T09:30,13.2,759.8,,,
2023-10-02T09:45,13.7,778.6,,,
2023-10-02T10:00,15.5,796.8,,,
2023-10-02T10:15,15.5,820.4,,,
2023-10-02T10:30,16,819.2,,,
2023-10-02T10:45,16.4,830.2,,,
2023-10-02T11:00,18.4,837.6,,,
2023-10-02T11:15,18.2,858.2,,,
2023-10-02T11:30,18.5,848.4,,,
2023-10-02T11:45,18.8,850.5,,,
2023-10-02T12:00,20.4,850.3,,,
2023-10-02T12:15,20.2,863.3,,,
2023-10-02T12:30,20.4,850.8,,,
2023-10-02T12:45,20.5,846.8,,,
2023-10-02T13:00,21.6,840.4,,,
2023-10-02T13:15,21.3,848.9,,,
2023-10-02T13:30,21.4,827.7,,,
2023-10-02T13:45,21.4,824.4,,,
2023-10-02T14:00,22.1,814.6,,,
2023-10-02T14:15,21.7,816.9,,,
2023-10-02T14:30,21.7,788.4,,,
2023-10-02T14:45,21.7,776.5,,,
2023-10-02T15:00,22.6,759,,,
2023-10-02T15:15,22.2,749.6,,,
2023-10-02T15:30,22,707.8,,,
2023-10-02T15:45,21.9,680.3,,,
2023-10-02T16:00,22.6,645.5,,,
2023-10-02T16:15,21.9,631,,,
2023-10-02T16:30,21.3,552.4,,,
2023-10-02T16:45,20.8,496.5,,,
2023-10-02T17:00,21.4,425.5,,,
2023-10-02T17:15,20.6,382.8,,,
2023-10-02T17:30,19.8,248.1,,,
2023-10-02T17:45,19.1,134.7,,,
2023-10-02T18:00,18.1,67.5,,,
2023-10-02T18:15,17.6,0,,,
2023-10-02T18:30,17.2,0,,,
2023-10-02T18:45,16.9,0,,,
2023-10-02T19:00,15.5,0,,,
2023-10-02T19:15,15.3,0,,,
2023-10-02T19:30,15.1,0,,,
2023-10-02T19:45,14.8,0,,,
2023-10-02T20:00,14.1,0,,,
2023-10-02T20:15,13.9,0,,,
2023-10-02T20:30,13.8,0,,,
2023-10-02T20:45,13.6,0,,,
2023-10-02T21:00,12.5,0,,,
2023-10-02T21:15,12.5,0,,,
2023-10-02T21:30,12.4,0,,,
2023-10-02T21:45,12.3,0,,,
2023-10-02T22:00,11.4,0,,,
2023-10-02T22:15,11.4,0,,,
2023-10-02T22:30,11.3,0,,,
2023-10-02T22:45,11.2,0,,,
2023-10-02T23:00,11,0,,,
2023-10-02T23:15,10.9,0,,,
2023-10-02T23:30,10.8,0,,,
2023-10-02T23:45,10.8,0,,,
2023-10-03T00:00,10.9,0,,,
2023-10-03T00:15,10.9,0,,,
2023-10-03T00:30,10.8,0,,,
2023-10-03T00:45,10.7,0,,,
2023-10-03T01:00,10.4,0,,,
2023-10-03T01:15,10.3,0,,,
2023-10-03T01:30,10.1,0,,,
2023-10-03T01:45,9.9,0,,,
2023-10-03T02:00,10,0,,,
2023-10-03T02:15,9.9,0,,,
2023-10-03T02:30,9.7,0,,,
2023-10-03T02:45,9.6,0,,,
2023-10-03T03:00,10.9,0,,,
2023-10-03T03:15,10.8,0,,,
2023-10-03T03:30,10.8,0,,,
2023-10-03T03:45,10.7,0,,,
2023-10-03T04:00,10.9,0,,,
2023-10-03T04:15,10.8,0,,,
2023-10-03T04:30,10.8,0,,,
2023-10-03T04:45,10.6,0,,,
2023-10-03T05:00,11.1,0,,,
2023-10-03T05:15,11,0,,,
2023-10-03T05:30,10.9,0,,,
2023-10-03T05:45,10.8,0,,,
2023-10-03T06:00,10.5,0,,,
2023-10-03T06:15,10.5,0,,,
2023-10-03T06:30,10.6,0,,,
2023-10-03T06:45,10.5,0,,,
2023-10-03T07:00,11.2,38.3,,,
2023-10-03T07:15,11.5,197.9,,,
2023-10-03T07:30,12,286.8,,,
2023-10-03T07:45,12.7,388.8,,,
2023-10-03T08:00,13.8,451.4,,,
2023-10-03T08:15,15,529.8,,,
2023-10-03T08:30,15.8,546.2,,,
2023-10-03T08:45,16.5,592.7,,,
2023-10-03T09:00,17,627.8,,,
2023-10-03T09:15,17.2,671.7,,,
2023-10-03T09:30,17.7,674.8,,,
2023-10-03T09:45,18.1,701.2,,,
2023-10-03T10:00,19.6,719.9,,,
2023-10-03T10:15,19.5,749.3,,,
2023-10-03T10:30,19.8,745.6,,,
2023-10-03T10:45,20.3,761.1,,,
2023-10-03T11:00,21.7,765.7,,,
2023-10-03T11:15,21.4,789.9,,,
2023-10-03T11:30,21.6,781.3,,,
2023-10-03T11:45,22,789.3,,,
2023-10-03T12:00,23.6,788.2,,,
2023-10-03T12:15,23.3,806.3,,,
2023-10-03T12:30,23.5,792.2,,,
2023-10-03T12:45,23.8,794.2,,,
2023-10-03T13:00,24.6,790.6,,,
2023-10-03T13:15,24.5,800.1,,,
2023-10-03T13:30,24.7,782.8,,,
2023-10-03T13:45,24.9,770.1,,,
2023-10-03T14:00,25.3,758.6,,,
2023-10-03T14:15,25,769.7,,,
2023-10-03T14:30,25,737.1,,,
2023-10-03T14:45,24.9,732.3,,,
2023-10-03T15:00,25.3,712.2,,,
2023-10-03T15:15,25.1,710.7,,,
2023-10-03T15:30,25,620.5,,,
2023-10-03T15:45,24.9,536.3,,,
2023-10-03T16:00,25.8,387.3,,,
2023-10-03T16:15,25.2,598.1,,,
2023-10-03T16:30,24.7,513.3,,,
2023-10-03T16:45,24.4,457.7,,,
2023-10-03T17:00,24.3,391.8,,,
2023-10-03T17:15,23.6,344.4,,,
2023-10-03T17:30,23,224.1,,,
2023-10-03T17:45,22.4,114.2,,,
2023-10-03T18:00,22.3,53.2,,,
2023-10-03T18:15,21.7,0,,,
2023-10-03T18:30,21.1,0,,,
2023-10-03T18:45,20.6,0,,,
2023-10-03T19:00,19.5,0,,,
2023-10-03T19:15,19.1,0,,,
2023-10-03T19:30,18.8,0,,,
2023-10-03T19:45,18.5,0,,,
2023-10-03T20:00,18.3,0,,,
2023-10-03T20:15,18.1,0,,,
2023-10-03T20:30,17.8,0,,,
2023-10-03T20:45,17.5,0,,,
2023-10-03T21:00,16.6,0,,,
2023-10-03T21:15,15.9,0,,,
2023-10-03T21:30,15.3,0,,,
2023-10-03T21:45,14.7,0,,,
2023-10-03T22:00,14,0,,,
2023-10-03T22:15,13.7,0,,,
2023-10-03T22:30,13.5,0,,,
2023-10-03T22:45,13.2,0,,,
2023-10-03T23:00,12.8,0,,,
2023-10-03T23:15,12.6,0,,,
2023-10-03T23:30,12.4,0,,,
2023-10-03T23:45,12.2,0,,,
2023-10-04T00:00,12.2,0,,,
2023-10-04T00:15,12,0,,,
2023-10-04T00:30,11.9,0,,,
2023-10-04T00:45,11.7,0,,,
2023-10-04T01:00,11.8,0,,,
2023-10-04T01:15,11.6,0,,,
2023-10-04T01:30,11.5,0,,,
2023-10-04T01:45,11.4,0,,,
2023-10-04T02:00,11.4,0,,,
2023-10-04T02:15,11.4,0,,,
2023-10-04T02:30,11.2,0,,,
2023-10-04T02:45,11.1,0,,,
2023-10-04T03:00,11.3,0,,,
2023-10-04T03:15,11.2,0,,,
2023-10-04T03:30,11.1,0,,,
2023-10-04T03:45,10.9,0,,,
2023-10-04T04:00,11.1,0,,,
2023-10-04T04:15,10.9,0,,,
2023-10-04T04:30,10.9,0,,,
2023-10-04T04:45,10.7,0,,,
2023-10-04T05:00,11,0,,,
2023-10-04T05:15,10.8,0,,,
2023-10-04T05:30,10.6,0,,,
2023-10-04T05:45,10.5,0,,,
2023-10-04T06:00,10.7,0,,,
2023-10-04T06:15,10.7,0,,,
2023-10-04T06:30,10.5,0,,,
2023-10-04T06:45,10.4,0,,,
2023-10-04T07:00,11,13.1,,,
2023-10-04T07:15,11.4,127.3,,,
2023-10-04T07:30,11.7,212.5,,,
2023-10-04T07:45,12,248.9,,,
2023-10-04T08:00,12.1,0,,,
2023-10-04T08:15,12.3,114.2,,,
2023-10-04T08:30,12.5,0,,,
2023-10-04T08:45,12.7,0,,,
2023-10-04T09:00,13,0,,,
2023-10-04T09:15,13.3,293.9,,,
2023-10-04T09:30,13.6,13.3,,,
2023-10-04T09:45,13.9,8.3,,,
2023-10-04T10:00,14.8,53.1,,,
2023-10-04T10:15,14.9,673.2,,,
2023-10-04T10:30,14.9,36,,,
2023-10-04T10:45,15.2,116.3,,,
2023-10-04T11:00,15.3,160.1,,,
2023-10-04T11:15,15.8,664.5,,,
2023-10-04T11:30,15.7,0,,,
2023-10-04T11:45,15.8,0,,,
2023-10-04T12:00,15.9,0,,,
2023-10-04T12:15,16.1,472.2,,,
2023-10-04T12:30,16.2,17.3,,,
2023-10-04T12:45,16.4,72.5,,,
2023-10-04T13:00,16.5,138.4,,,
2023-10-04T13:15,16.6,388.9,,,
2023-10-04T13:30,16.8,0,,,
2023-10-04T13:45,16.9,82.6,,,
2023-10-04T14:00,17.8,300.4,,,
2023-10-04T14:15,17.7,595.5,,,
2023-10-04T14:30,17.9,245.7,,,
2023-10-04T14:45,18,313.1,,,
2023-10-04T15:00,18.4,533.1,,,
2023-10-04T15:15,18.4,661.8,,,
2023-10-04T15:30,18.5,564.3,,,
2023-10-04T15:45,18.6,604.1,,,
2023-10-04T16:00,18.4,554.5,,,
2023-10-04T16:15,18.4,538.2,,,
2023-10-04T16:30,18.2,487.1,,,
